Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2024-11-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2024-04-26;0;29.5;23.9;19.8;78;10.8;4;
2024-04-27;0;30.5;25.1;22;71.7;14.6;5.1;
2024-04-28;0;25.1;23.1;21.2;88.5;16.5;2.4;
2024-04-29;32.6;30;24.6;19.6;79.8;17.2;4.5;
2024-04-30;0;31;26.3;23.8;62.8;15.1;6;
2024-05-01;0;29.7;25.9;22.7;69.2;16.9;5.8;
2024-05-02;1.4;25.9;22.4;22.3;84.9;14.9;5.6;
2024-05-03;85.2;20;18.7;17.9;92.2;18;4.5;
2024-05-04;29.4;22.2;20.3;18.3;92.4;12.3;4;
2024-05-05;14.4;29.4;23.6;19.2;75.8;10.8;3.9;
2024-05-06;0;29.3;24;18.7;60.2;14.7;4;
2024-05-07;0;29.4;24.2;19.8;64.7;15.7;4.6;
2024-05-08;0;29.5;24.6;22.1;null;17.7;6.1;
2024-05-09;5.2;20.8;17.9;16.2;null;8.4;3.6;
2024-05-10;1.6;26.5;21.9;16.7;80.1;11;3.9;
2024-05-11;0;27.3;23.4;20.7;null;10.6;3.2;
2024-05-12;0;27.6;23.3;20.6;77.2;16.3;4.5;
2024-05-13;20.8;21.6;17;16;96.8;12.6;3.8;
2024-05-14;20;14.8;12.6;11.1;null;10.3;4;
2024-05-15;0;15.4;10.8;7.2;null;8;3.5;
2024-05-16;0;20.8;17.6;8;null;9.5;3.8;
2024-05-17;7.8;19.5;15.6;14;null;8;2;
2024-05-18;4.4;15.3;13.8;13.7;null;7.1;2.3;
2024-05-19;23.2;13.3;11.6;10.6;null;8.4;2.7;
2024-05-20;.2;16.3;11.8;9.4;null;8.2;3;
2024-05-21;0;26.9;17.7;9.7;null;8.5;3.9;
2024-05-22;0;28.5;23.5;15.2;null;13.1;5.4;
2024-05-23;0;25.7;21.8;21;null;17.9;5.9;
2024-05-24;47.4;20.2;15.7;15;null;13.2;4.7;
2024-05-25;6.4;10.5;8.4;7.3;null;9.4;3.5;
2024-05-26;0;14;9.8;6;null;10.2;3.9;
2024-05-27;3.6;13.9;11.6;8.2;null;10;3.1;
2024-05-28;5.6;10.1;7.8;5.5;null;12.1;4.3;
2024-05-29;0;12.9;9.9;5.4;null;9.7;2.6;
2024-05-30;.2;18.6;10.9;6.4;null;7.9;3.4;
2024-05-31;0;21;12.3;7;null;6.9;3.5;
2024-06-01;0;21.9;14.6;7;null;10.9;3.8;
2024-06-02;0;25;18.8;10.9;null;11;4;
2024-06-03;0;21.6;18.5;16.9;null;8;3.2;
2024-06-04;0;24.2;15.4;10.7;null;8.7;3.9;
2024-06-05;0;25.9;19.7;11.4;null;6.6;3.2;
2024-06-06;0;25.4;20.3;16;null;5.8;2.5;
2024-06-07;0;25.7;19.7;15.3;null;6.5;3.2;
2024-06-08;0;25.2;19.9;15.4;null;9.6;3.5;
2024-06-09;0;26.4;21.5;17.7;null;17;4.5;
2024-06-10;0;26.5;22.2;17.8;null;13.5;4.3;
2024-06-11;0;26.7;22.6;19.2;null;11.1;3.4;
2024-06-12;0;25.4;21.3;17.8;null;11.3;3.2;
2024-06-13;0;26.8;21.2;15.5;null;15.3;4.9;
2024-06-14;0;27.1;23;19.5;null;16.3;6.4;
2024-06-15;0;23.9;21.3;21.2;null;12.3;5.1;
2024-06-16;3;22.2;19.9;18.4;null;10.7;4.3;
2024-06-17;21;18.1;17.1;16.9;null;12.1;4.5;
2024-06-18;71.4;23.3;18.6;14.7;null;13.6;4.7;
2024-06-19;4.8;24.5;20.9;17.9;null;14.6;4.8;
2024-06-20;34.8;21.1;16.7;16.4;null;18.7;4.5;
2024-06-21;8.2;23.4;18.8;15.2;null;10.2;3.5;
2024-06-22;0;25.9;21.8;16.5;null;14.2;5.2;
2024-06-23;0;25.5;22.1;19.2;null;13.3;5;
2024-06-24;34.6;22.3;18.2;18;null;8.6;2.9;
2024-06-25;10.4;14;11.3;9.6;null;14.3;5.3;
2024-06-26;5.4;16.4;12.8;9.9;null;12.6;4.2;
2024-06-27;2.4;16.6;11.1;6;null;7;2.3;
2024-06-28;0;18.5;14.1;9;null;8.2;3.8;
2024-06-29;.2;12.6;8.7;5.1;null;10;3;
2024-06-30;0;12.2;5.9;1.1;null;7;2.6;
2024-07-01;0;20.5;9.7;1.7;null;7;2.7;
2024-07-02;0;22.1;14.6;4.7;null;8.7;3.8;
2024-07-03;0;25.6;19.9;11.6;null;10.1;4.1;
2024-07-04;0;24.7;20.6;17.7;null;11.1;3.6;
2024-07-05;0;21.6;17.4;18.6;null;12.6;3.5;
2024-07-06;4.8;10.9;9.8;8.7;null;13;4.8;
2024-07-07;28.8;12.1;11.6;8.9;null;10.1;3.1;
2024-07-08;33.4;11.7;9.4;9.2;null;9.1;3.6;
2024-07-09;0;10.2;8.8;7.5;null;9.2;3.2;
2024-07-10;2;10.2;7.1;6;null;6;2.3;
2024-07-11;4;8.7;7.5;5.9;null;6.5;2;
2024-07-12;15.6;9.5;7.2;5;null;9.6;3.2;
2024-07-13;0;10.5;8.5;5.9;null;11;3.5;
2024-07-14;43.6;12;10.5;7.7;null;6.5;2.1;
2024-07-15;.4;16;12.5;8.7;null;8.6;3.1;
2024-07-16;0;18.1;14.5;11.7;null;7.3;3.1;
2024-07-17;0;20.2;15.6;13.5;null;8.4;3.2;
2024-07-18;0;24.2;16.9;11.5;null;5.4;2.5;
2024-07-19;.2;25.7;17.7;11.2;null;7;3.3;
2024-07-20;0;23.9;17.2;11;null;7.6;3.5;
2024-07-21;0;24.1;17.9;11.8;null;8;2.8;
2024-07-22;0;24.4;17.8;11.3;null;6.1;2.8;
2024-07-23;0;24.6;17.9;12.7;null;7.4;3.1;
2024-07-24;0;25.3;19.3;12.5;null;9.6;3.1;
2024-07-25;0;25.6;20.5;16.5;null;8.9;3.4;
2024-07-26;0;25.2;21.1;18;null;11.5;3.4;
2024-07-27;0;21;18.5;17.4;null;10.4;3;
2024-07-28;6.8;18.8;16;14.4;null;11;3.7;
2024-07-29;29.8;16.2;14.2;14.7;null;13.1;3.7;
2024-07-30;.4;20.1;13.3;9.7;null;12.5;5;
2024-07-31;0;22.9;15.5;10.6;null;9.5;3.6;
2024-08-01;0;25.9;19.1;13.1;null;9.2;4.2;
2024-08-02;0;26.3;21.2;15.5;null;14.4;5.1;
2024-08-03;0;25.6;22;19.4;null;17.7;7;
2024-08-04;0;23.3;21.1;19.8;null;12.5;4.3;
2024-08-05;8.4;24.4;19.3;16.2;null;13.3;4.7;
2024-08-06;0;26.7;22.7;18.3;null;13.3;4.5;
2024-08-07;0;22.8;18.3;16.6;null;10.6;3.8;
2024-08-08;25.2;16.5;13.8;14;null;11.1;3.1;
2024-08-09;.2;10;6.6;5;null;9.2;3.2;
2024-08-10;0;13.8;8;5.1;null;7;2.1;
2024-08-11;0;14.1;8.9;2.5;null;9.3;2.7;
2024-08-12;0;12.2;8.1;4.6;null;9.8;3.2;
2024-08-13;0;16;8.3;2.2;null;7.5;2.9;
2024-08-14;0;23;13.6;6;null;6.9;2.9;
2024-08-15;0;26.9;19.1;11;null;7.1;3.2;
2024-08-16;0;29.3;23;17.2;null;10.2;4.4;
2024-08-17;0;29.8;25;21.2;null;12.7;5;
2024-08-18;0;31.9;25.5;20.2;null;13.4;4.2;
2024-08-19;0;31.1;26.1;20.9;null;11.7;4.1;
2024-08-20;0;31.5;25.1;19.1;null;9.5;3.9;
2024-08-21;0;30;23.5;18.1;null;14.5;4.6;
2024-08-22;0;26.2;21.3;21.1;null;15.9;6.5;
2024-08-23;73.2;15.2;12.2;12.2;null;12.2;3.6;
2024-08-24;12;12;10.3;9.7;null;9.1;3.9;
2024-08-25;0;11.8;6.7;2.6;null;11.1;2.8;
2024-08-26;0;15;8.4;2.8;null;6.9;2;
2024-08-27;0;19.1;12;4.6;null;8.2;3.1;
2024-08-28;0;22.1;16.1;10.2;null;7.5;2.9;
2024-08-29;0;28.9;21.1;14.3;null;11.9;3.7;
2024-08-30;0;30.5;23.5;17.8;null;10.5;3.9;
2024-08-31;0;29.5;24;20.2;null;12.7;4.3;
2024-09-01;0;23.5;15.9;12.8;null;8.2;3.6;
2024-09-02;0;23;13.5;7.3;null;5.5;2;
2024-09-03;0;30.9;22.2;8.3;null;11.4;4.3;
2024-09-04;0;31.8;21.4;17.2;null;15;4.5;
2024-09-05;8.2;16.7;13.7;11.4;null;11.9;4;
2024-09-06;0;25.9;16.2;8.6;null;9.1;3.4;
2024-09-07;0;29.9;23.4;12.8;null;9.5;3.9;
2024-09-08;0;33.6;27.2;21.5;null;10.4;3.9;
2024-09-09;0;33.6;27.8;23.3;null;13.1;4.3;
2024-09-10;0;31.6;26.8;21.6;null;12.1;3.9;
2024-09-11;0;32.3;26.6;21.9;null;12.9;4.6;
2024-09-12;0;27.2;22;24.2;null;15.7;5.2;
2024-09-13;22.2;25.1;19.5;16.6;null;12.4;3.5;
2024-09-14;10.2;21.4;17.5;15.8;null;8.6;2.8;
2024-09-15;0;17.3;14;12.9;null;13.5;4.6;
2024-09-16;0;22.1;15.4;11;null;8;3.2;
2024-09-17;.4;23.9;17.5;12.3;null;11.6;3.7;
2024-09-18;0;27.1;18.7;12.6;null;12.9;3.3;
2024-09-19;0;25.2;20.3;15.9;null;9.5;4.7;
2024-09-20;9.6;23.5;18.4;17.2;null;20.5;6.3;
2024-09-21;26.8;27.8;19.2;13.5;null;10.9;3.4;
2024-09-22;0;31;23.9;16.6;null;9.1;3.4;
2024-09-23;0;33.1;27.7;23.5;null;9.4;3.8;
2024-09-24;0;34.6;28.5;24.4;null;12.6;4.1;
2024-09-25;null;34.1;28.3;24.6;null;16.3;4.1;
2024-09-26;1;26.6;20.4;20.1;null;14.7;4;
2024-09-27;12;22.5;17.2;14.1;null;10.2;3.4;
2024-09-28;0;27.4;19.5;12.8;null;8.1;3.4;
2024-09-29;0;29.7;22.1;14.9;null;7.3;3.5;
2024-09-30;0;34.2;25.9;18.2;null;13.6;4.7;
2024-10-01;0;34.5;28.9;23.9;null;18.2;5.9;
2024-10-02;2.4;29.8;21.2;18.9;null;14.2;4.3;
2024-10-03;16.4;21;16.6;13;null;13.5;5.5;
2024-10-04;0;25.7;18.7;13.5;null;11.3;3.9;
2024-10-05;0;28.2;19.7;12.7;null;9.1;3.5;
2024-10-06;0;28.3;21.7;16.1;null;9.4;3.4;
2024-10-07;0;20.9;18.6;16.5;null;13.6;4.4;
2024-10-08;3.4;22;18.5;16.6;null;18.4;5;
2024-10-09;21.2;19.6;18;17.1;null;13.5;4.1;
2024-10-10;14.6;21.5;18.5;16.7;null;8.2;2.8;
2024-10-11;106.6;20.2;18.3;16.8;null;9.7;3.6;
2024-10-12;11;24.9;19.7;16.5;null;6.6;2.1;
2024-10-13;.2;28.5;21.9;15.7;null;10.3;3.7;
2024-10-14;0;27;21.5;16.6;null;8.6;3.6;
2024-10-15;0;25.6;19;17.7;null;11.6;3.8;
2024-10-16;12.2;27.3;20.4;15.4;null;7.9;3.2;
2024-10-17;0;30.8;22.8;15.9;null;7.7;2.9;
2024-10-18;0;24.8;19.3;17.5;null;9;2.9;
2024-10-19;3.8;22.9;18.5;16.2;null;11.4;4.3;
2024-10-20;0;28.4;20.1;13.9;null;9.7;3.9;
2024-10-21;0;29.8;23.4;17.9;null;13.5;4;
2024-10-22;0;33.1;25.7;20.9;null;8.3;2.4;
2024-10-23;0;29.2;24.6;23;null;14;3.3;
2024-10-24;.4;29.4;22.2;21.2;null;22;5.8;
2024-10-25;16.8;26.5;20.1;14.8;null;8.4;3.5;
2024-10-26;0;25.6;19.4;15.2;null;10.8;3.1;
2024-10-27;0;27.9;19.5;12.3;null;10.3;4.1;
2024-10-28;0;31.3;23.1;16.5;null;9.3;3.1;
2024-10-29;0;31.8;25.4;16.9;null;10;2.3;
2024-10-30;0;32.1;25.7;19.1;null;9.1;3.3;
2024-10-31;0;31.5;24.1;18.7;null;15;4.1;
2024-11-01;1;32;24.3;17.7;null;9.6;3.8;
2024-11-02;.6;27.1;21.4;20.9;null;12.1;3.2;
2024-11-03;16.2;26.2;21.3;19.3;null;11.3;4.2;
2024-11-04;0;29;22.9;17.8;null;10.2;3.7;
2024-11-05;0;30.5;25;19.6;null;7.3;2.8;
2024-11-06;0;31.4;24.3;21.1;null;11.1;3.2;
2024-11-07;13.6;26;20.4;18.7;null;10.9;2.8;
2024-11-08;19.8;25.2;20.4;17.8;null;8.6;3.5;
2024-11-09;0;27;19.6;13.6;null;11.2;4.4;
2024-11-10;0;30.7;23.2;15.9;null;9.7;3.5;
2024-11-11;0;33.1;25.5;20.3;null;15.3;4.3;
2024-11-12;6.2;23.1;17;14.1;null;12.3;3.3;
2024-11-13;.4;24.1;17.7;11.9;null;7.9;2.8;
2024-11-14;0;27.1;20.4;13.5;null;9.7;3.1;
2024-11-15;0;29;23;17.6;null;8.9;3.6;
2024-11-16;0;32.3;25.3;19;null;8.3;3.4;
2024-11-17;0;33.3;26.5;20.6;null;9.5;3.3;
2024-11-18;0;31.5;24.8;21;null;15;2.7;
2024-11-19;0;31.8;23.6;21.2;null;11.2;3.8;
2024-11-20;10.6;27.7;22.6;18.9;null;8.9;2.9;
2024-11-21;.2;26.8;20.6;18.3;null;9.7;4.2;
2024-11-22;42.2;24.1;20.3;17.3;null;8;2.7;
2024-11-23;0;28.7;22.4;17.7;null;8.4;3.3;
2024-11-24;0;30.4;23.1;16.6;null;8.4;3.2;
2024-11-25;0;30.5;24;17.2;null;9.9;3.2;
2024-11-26;0;31.9;26.3;22;null;10.7;3.1;
2024-11-27;0;33.1;25;22.3;null;19.5;3.5;
2024-11-28;35.8;25.3;21.3;19.3;null;13;3.8;
2024-11-29;15.6;28.2;23.1;18.6;null;9.9;2.8;
2024-11-30;0;30.4;null;20;null;6.5;2.2;

